city,body_type,Kms_Driven,oem,model,modelYear,variantName,price,Insurance Validity,Fuel Type,Seating_Capacity,Ownership,Transmission,Color
5,8,56766,30,263,2013,427,399000,4,4,5,4,1,9
5,7,7114,29,250,2022,1910,2109000,4,1,6,1,0,9
5,7,25508,29,250,2021,1910,2000000,1,1,6,1,0,114
5,2,39369,20,173,2012,1229,217000,1,4,5,1,1,113
5,7,96707,17,139,2018,1796,886000,1,1,7,1,1,85
5,2,50000,9,86,2016,145,550000,4,4,5,1,1,85
5,2,30345,27,224,2019,1399,327000,4,4,5,1,1,107
5,7,128232,30,267,2016,720,1775000,1,1,7,1,0,135
5,7,54018,8,65,2017,2025,487000,4,4,5,1,1,14
5,8,32007,9,81,2016,372,612000,5,1,5,1,1,113
5,2,100000,9,84,2015,1567,310000,4,4,5,1,1,85
5,2,30000,9,77,2014,1106,245000,4,4,5,3,1,54
5,8,66452,32,290,2018,946,1980000,1,1,5,1,0,113
5,7,38706,32,295,2021,954,4500000,1,1,5,1,0,135
5,8,80000,8,59,2018,2025,650000,4,4,5,1,1,85
5,8,60000,9,81,2015,416,750000,4,4,5,1,1,54
5,2,120000,9,86,2016,864,500000,4,4,5,1,1,85
5,4,150000,2,32,2012,1201,720000,4,1,10,3,1,85
5,8,19000,8,59,2017,2006,790000,4,1,5,1,1,14
5,4,260000,30,271,2012,581,645000,1,1,7,1,1,56
5,8,71552,8,59,2014,2013,403000,1,4,5,1,1,14
5,2,65039,9,73,2015,1566,301000,4,4,5,3,1,113
5,2,60000,9,77,2007,1108,40000,4,4,5,3,1,54
5,2,73578,27,224,2019,28,359000,5,4,5,1,1,107
5,2,27160,9,76,2021,1571,511000,4,4,5,1,0,85
5,2,36000,9,85,2017,88,425000,1,4,5,1,1,8
5,2,84367,9,73,2014,1566,277000,1,4,5,1,1,113
5,4,32599,20,155,2019,1728,750000,4,4,7,1,1,56
5,7,47530,27,222,2017,1350,551000,4,4,5,1,1,107
5,2,35457,8,57,2014,1442,254000,1,4,5,1,1,113
5,7,28134,13,102,2020,1165,1275000,1,4,5,1,0,83
5,2,28000,9,84,2011,1573,270000,1,4,5,1,0,107
5,7,20000,12,97,2023,462,2000000,4,1,5,1,0,54
5,7,33582,14,111,2020,1327,7900000,1,4,5,3,0,8
5,2,46005,9,84,2014,1566,254999,1,4,5,1,1,82
5,7,2565,16,115,2021,1525,3450000,1,1,6,1,0,8
5,2,28000,20,168,2018,785,535000,1,4,5,1,0,107
5,2,32000,8,62,2015,1671,440000,1,4,5,1,0,135
5,8,45000,20,169,2009,1769,225000,1,4,5,1,1,49
5,7,78565,17,139,2019,1792,1295000,1,1,7,1,1,135
5,7,10197,16,116,2022,1535,1792000,4,4,5,1,0,8
5,2,60000,9,70,2014,937,180000,4,4,5,3,1,85
5,8,32844,8,59,2017,2012,602000,1,4,5,1,1,113
5,2,5198,29,256,2022,1886,743000,1,0,5,1,1,8
5,2,40000,9,85,2013,1569,335000,1,4,5,1,1,13
5,8,19355,28,235,2019,388,750000,1,4,5,1,0,85
5,8,60000,20,169,2010,1769,240000,4,4,5,1,1,9
5,2,31197,20,173,2019,1728,474000,4,4,5,1,1,113
5,2,6651,4,37,2021,31,346000,4,4,5,1,1,85
5,2,60000,2,31,2009,7,70000,4,4,5,4,1,85
5,7,35000,8,56,2018,2028,745000,1,4,7,1,1,56
5,8,57000,8,59,2013,1427,335000,1,4,5,1,1,107
5,8,50469,8,59,2016,2009,550000,4,4,5,1,0,14
5,2,32000,20,168,2018,1712,524000,1,4,5,1,1,113
5,8,36000,30,263,2016,425,850000,1,4,5,1,0,49
5,2,30000,4,37,2018,1607,210000,4,4,5,1,1,85
5,7,68042,17,139,2018,795,999000,1,1,7,1,0,83
5,2,65000,9,84,2014,1566,229999,1,4,5,3,1,135
5,2,24000,20,168,2020,1761,549000,1,4,5,1,1,9
5,8,82948,20,153,2016,1944,520000,1,1,5,1,1,113
5,2,23162,20,177,2010,1748,141000,1,4,5,3,1,14
5,2,45000,20,164,2010,1769,129000,1,4,5,1,1,9
5,7,7281,8,65,2020,2025,641000,1,4,5,3,1,85
5,2,29428,9,86,2016,137,466000,4,4,5,1,1,135
5,7,64000,9,69,2018,402,844999,1,4,5,1,1,135
5,2,62202,20,146,2016,1224,215000,1,4,5,1,1,85
5,8,47000,8,59,2018,2029,725000,4,4,5,1,1,135
5,8,13145,29,258,2022,1886,772000,1,0,5,1,1,107
5,2,119490,9,70,2017,1566,254999,4,4,5,1,1,9
5,7,8000,17,139,2021,1788,1673999,1,1,7,1,1,135
5,8,45000,8,59,2015,2002,525000,4,1,5,1,1,14
5,2,46422,20,174,2016,1728,295000,1,4,5,1,1,56
5,2,64000,9,84,2014,1566,235000,1,4,5,4,1,85
5,8,52000,31,277,2020,323,495000,1,1,5,1,1,14
5,8,25000,8,59,2019,1677,685000,1,4,5,1,1,14
5,2,15000,9,70,2013,1074,186000,4,4,5,3,1,9
5,7,45000,13,102,2020,1126,1265000,1,4,5,1,1,49
5,7,65000,9,69,2018,397,894999,1,4,5,1,0,135
5,7,65000,12,96,2018,466,950000,4,1,5,1,1,8
5,8,21628,8,59,2019,2027,727000,1,4,5,1,1,113
5,2,8347,20,168,2016,1728,426999,4,4,5,1,1,113
5,7,72057,17,130,2016,1456,875000,1,1,7,3,1,9
5,2,52549,9,73,2017,95,349000,4,4,5,1,1,113
5,8,44540,8,59,2014,2009,450000,4,4,5,3,0,85
5,2,44000,20,168,2014,1224,320000,1,4,5,3,1,113
5,2,53084,9,74,2019,835,646000,4,1,5,1,1,113
5,4,10000,20,175,2021,812,950000,4,4,6,3,1,85
5,8,34339,30,263,2018,441,1124000,1,4,5,3,0,135
5,7,15456,13,102,2020,1155,1057000,4,4,5,1,1,107
5,2,68000,9,76,2018,1574,385000,1,4,5,1,1,56
5,7,10000,20,167,2021,981,875000,4,4,5,1,1,85
5,7,100000,17,134,2017,2042,520000,4,1,7,1,1,85
5,7,59639,17,134,2019,1613,675000,1,1,7,1,1,107
5,2,50000,20,151,2017,1952,360000,4,4,5,1,1,85
5,8,37000,0,4,2016,684,1795000,1,4,5,1,0,135
5,8,60000,27,228,2013,1424,235000,4,4,5,3,1,135
5,2,8000,9,87,2022,1319,900000,4,4,5,1,1,9
5,4,31000,20,155,2017,1472,800000,4,1,7,1,1,113
5,8,44890,8,55,2016,1454,357000,1,4,5,1,1,113
5,7,48752,9,69,2017,219,620000,1,1,5,3,1,85
5,7,10000,29,250,2022,1924,2350000,4,1,6,1,0,85
5,7,5151,17,125,2017,2040,372000,4,4,5,1,1,107
5,2,28807,20,146,2017,1224,275000,5,4,5,1,1,9
5,2,30000,9,77,2014,1106,220000,4,4,5,3,1,85
5,8,20593,8,59,2019,2027,763000,4,4,5,1,1,113
5,8,82879,8,55,2015,1054,260000,4,4,5,3,1,85
5,8,13407,8,59,2022,1677,1015000,1,4,5,1,1,107
5,2,100000,20,161,2019,148,409999,4,4,5,1,1,85
5,4,66000,20,155,2018,1687,791000,1,1,7,1,1,56
5,4,177000,30,271,2015,564,745000,1,1,7,1,1,113
5,4,21100,30,272,2021,534,1850000,4,1,7,1,1,8
5,4,120000,29,255,2005,1049,110000,4,1,10,1,1,107
5,8,44227,1,16,2018,1118,3900000,1,1,4,1,0,135
5,7,70000,30,267,2015,720,1350000,4,1,7,4,0,113
5,7,45000,8,65,2019,2029,650000,4,4,5,1,1,55
5,7,50000,9,67,2021,1546,1600000,4,4,6,1,1,8
5,2,77042,20,168,2019,1728,449000,1,4,5,1,1,107
5,8,42325,29,258,2021,1876,517000,4,4,5,1,1,85
5,2,50000,31,281,2017,113,500000,4,4,5,1,1,85
5,2,37196,20,168,2015,1952,400000,1,4,5,1,1,85
5,2,61530,20,148,2017,185,459999,4,1,5,1,1,107
5,2,48000,9,86,2016,146,580000,4,4,5,1,1,135
5,7,74444,20,172,2017,1942,643000,1,1,5,1,1,85
5,2,120000,28,230,2011,114,200000,4,4,5,1,1,85
5,2,11768,20,165,2020,1765,411000,1,4,5,1,1,85
5,2,19715,27,224,2020,1405,384000,4,4,5,3,1,9
5,7,54581,8,65,2018,2029,500000,4,4,5,1,1,14
5,8,34000,0,4,2014,504,1475000,1,1,5,1,0,56
5,2,50000,9,85,2016,1569,500000,4,4,5,3,1,85
5,2,40000,31,281,2014,115,360000,4,4,5,3,1,85
5,7,70000,30,267,2015,720,1450000,4,1,7,2,0,113
5,7,19600,26,219,2016,624,4200000,4,4,5,4,0,9
5,4,120000,2,32,2011,1202,350000,4,1,7,1,1,135
5,7,68000,1,19,2012,2062,1199000,1,1,5,1,0,8
5,8,70000,29,248,2014,924,220000,4,1,5,3,1,85
5,2,50000,9,73,2016,911,330000,4,1,5,2,1,85
5,8,70179,29,258,2021,1842,518000,4,4,5,1,1,135
5,2,54501,20,144,2010,1267,141000,1,4,5,1,1,55
5,7,20000,27,221,2018,263,800000,4,1,5,1,1,85
5,2,28651,20,146,2016,1224,227000,4,4,5,1,1,85
5,8,64787,8,59,2014,2012,372000,4,4,5,3,1,135
5,7,138726,30,267,2014,724,1300000,1,1,7,1,1,56
5,2,24147,20,173,2019,1728,437000,1,4,5,1,1,113
5,8,65000,30,263,2017,1695,950000,4,4,5,1,0,135
5,8,79513,8,59,2015,2013,421000,1,4,5,1,1,113
5,2,87845,9,85,2010,119,193000,4,4,5,1,1,8
5,4,20000,20,155,2015,1952,750000,4,4,7,1,1,85
5,8,55000,31,279,2015,246,599000,4,4,5,1,1,113
5,2,60000,17,126,2020,1101,470000,4,4,6,3,1,135
5,2,47183,8,57,2014,1442,335000,4,4,5,1,1,113
5,4,150000,30,271,2015,583,1050000,4,1,7,1,1,85
5,8,41510,21,189,2015,1040,2199000,1,1,5,3,0,113
5,8,54600,9,71,2017,396,843000,1,1,5,1,1,8
5,8,70000,2,30,2015,108,180000,4,4,5,1,1,135
5,7,29882,20,172,2021,1224,673000,5,4,5,1,1,113
5,8,69000,9,81,2013,360,250000,4,1,5,1,1,8
5,2,46624,9,85,2011,832,198000,1,4,5,3,1,113
5,7,56312,13,102,2021,1128,1400000,1,1,5,1,0,8
5,2,22950,20,146,2019,1224,283000,4,4,5,1,1,107
5,2,42000,9,84,2014,1067,214000,1,4,5,3,1,107
5,2,26135,9,70,2014,1074,215000,4,4,5,1,1,9
5,2,20913,31,281,2020,14,749000,1,4,5,1,1,107
5,2,14000,9,70,2013,1074,185000,1,4,5,3,1,9
5,2,3000,20,165,2020,1775,421000,1,4,5,1,1,56
5,2,52002,20,148,2018,194,465000,1,1,5,1,1,107
5,2,60000,9,85,2010,119,200000,4,4,5,3,1,85
5,7,50000,13,102,2021,1168,1321000,4,1,5,1,1,56
5,8,59000,30,263,2014,1097,450000,4,4,5,1,1,135
5,7,15000,13,103,2022,1130,1199000,1,1,5,1,1,135
5,2,22393,9,70,2014,1074,210000,1,4,5,3,1,135
5,8,53483,8,55,2016,1451,345000,1,1,5,1,1,42
5,8,49000,8,64,2011,533,421000,4,4,5,1,0,56
5,2,38420,20,147,2011,1728,171000,1,4,5,1,1,85
5,2,60585,9,84,2010,1569,172000,1,4,5,1,1,107
5,8,12809,21,189,2021,1077,6600000,1,4,5,1,0,135
5,8,37243,28,235,2019,316,794000,5,1,5,1,0,135
5,7,25796,30,275,2022,1364,881000,1,4,5,1,1,113
5,4,34000,30,272,2018,547,1735000,1,1,8,1,1,104
5,2,42000,24,214,2018,1868,325000,1,4,5,1,1,113
5,2,24425,20,174,2014,1728,284000,1,4,5,1,1,107
5,8,14323,28,235,2020,34,936000,1,4,5,1,0,9
5,7,9700,17,134,2019,1614,800000,1,1,7,1,1,113
5,8,50000,9,81,2011,412,250000,4,4,5,3,1,107
5,8,51097,8,59,2017,2023,650000,4,4,5,1,0,14
5,2,60000,9,84,2010,1067,165000,4,4,5,3,1,85
5,2,40000,9,84,2009,1067,161000,4,4,5,1,1,85
5,7,60002,21,194,2017,618,2750000,1,1,5,1,0,14
5,7,39000,8,56,2018,2030,795000,4,4,7,1,1,55
5,4,40000,20,155,2020,1728,900000,4,4,7,1,1,85
5,2,16001,32,292,2017,943,1800000,1,1,5,1,0,9
5,8,51000,9,81,2014,380,361000,1,4,5,3,1,135
5,2,10143,20,173,2021,1728,509999,1,4,5,1,1,83
5,2,53657,20,165,2019,1765,415000,4,4,5,3,1,83
5,2,88532,20,151,2014,1728,266000,1,4,5,1,1,9
5,2,60000,20,173,2013,1229,150000,4,4,5,1,1,54
5,7,12059,28,232,2021,49,1375000,1,4,5,1,1,135
5,2,10000,29,256,2021,1885,520000,4,4,5,1,1,85
5,7,47000,17,130,2018,1461,925000,4,1,9,1,1,135
5,7,20000,27,222,2018,453,650000,1,1,5,1,1,107
5,8,37000,20,169,2013,1728,285000,1,4,5,1,1,49
5,2,9520,9,74,2022,831,728000,1,4,5,1,1,107
5,8,100000,2,30,2016,109,210000,4,4,5,1,1,113
5,2,22577,9,76,2022,1580,535000,1,0,5,1,1,56
5,2,9902,9,85,2021,851,824000,1,4,5,1,1,9
5,7,70000,6,48,2016,290,500000,4,4,5,1,1,85
5,2,20101,9,73,2020,95,526000,1,4,5,1,1,113
5,2,120000,28,230,2011,114,180000,4,4,5,1,1,85
5,7,15258,29,251,2021,1899,969999,1,4,5,1,1,83
5,8,52000,1,12,2012,665,975000,1,1,5,1,0,9
5,7,51900,21,193,2019,612,2250000,4,1,5,1,0,135
5,8,70000,8,59,2017,2024,750000,4,4,5,1,0,8
5,7,10000,12,96,2022,1313,2650000,4,4,5,1,0,54
5,7,30000,1,18,2016,2046,1950000,4,1,5,1,0,85
5,7,23303,9,69,2019,418,930000,1,4,5,3,1,107
5,7,70000,17,139,2017,1793,850000,4,1,7,3,1,135
5,7,50000,9,69,2019,418,1019999,4,4,5,3,1,85
5,2,11326,20,168,2019,1972,614000,1,4,5,1,1,56
5,2,23609,20,168,2020,1972,630000,1,4,5,1,1,113
5,2,30000,20,151,2016,1728,320000,4,4,5,3,1,85
5,2,60533,9,77,2014,1108,241000,4,4,5,1,1,107
5,8,46328,20,153,2016,1769,513000,4,4,5,1,1,113
5,7,60000,16,117,2020,1556,1550000,4,4,6,1,0,85
5,7,78668,30,267,2012,720,1075000,1,1,7,4,0,49
5,7,3115,27,225,2021,1412,718000,1,4,5,1,1,9
5,2,8940,20,151,2022,1974,635000,1,4,5,1,0,113
5,2,10000,9,73,2015,831,475000,4,4,5,1,1,85
5,8,40000,9,82,2014,97,305000,4,4,5,4,1,85
5,8,45652,8,59,2018,2013,755000,1,4,5,1,1,50
5,8,30000,20,153,2019,818,800000,4,4,5,1,1,85
5,8,85033,11,95,2015,519,1800000,1,4,5,2,0,135
5,2,30000,9,73,2017,1286,450000,4,4,5,1,1,85
5,2,70000,9,85,2011,119,290000,4,4,5,1,1,85
5,2,17200,20,168,2019,1728,580000,1,4,5,1,1,107
5,8,18255,8,59,2015,1722,600000,4,4,5,1,1,50
5,8,80000,30,263,2015,1105,595000,4,4,5,3,1,85
5,2,6398,20,151,2022,1965,546000,1,4,5,1,1,107
5,2,45739,9,74,2020,772,588000,1,4,5,1,0,113
5,7,46000,30,267,2016,727,2300000,4,1,7,1,1,135
5,7,35254,8,56,2016,2026,499000,1,4,7,1,1,113
5,8,41334,30,276,2018,1665,623000,1,4,5,1,1,107
5,2,51463,8,57,2014,1442,300000,4,4,5,1,1,8
5,2,29478,20,146,2019,1748,338000,1,4,5,1,1,113
5,4,85101,30,272,2019,553,1750000,1,1,7,1,1,93
5,2,6903,20,165,2022,1765,443000,1,4,5,1,1,107
5,2,57602,9,84,2013,1566,213000,1,4,5,3,1,107
5,8,52047,26,220,2013,990,3150000,4,1,4,3,0,83
5,7,71742,21,196,2017,623,3700000,1,1,5,1,0,8
5,2,10000,20,146,2015,1224,234000,1,4,5,1,1,65
5,2,50000,9,84,2009,1068,140000,4,4,5,1,1,85
5,2,18000,20,148,2018,83,534000,1,4,5,1,0,107
5,2,32000,20,173,2018,776,380000,1,4,5,1,0,9
5,7,42000,6,48,2018,261,565000,4,1,5,1,1,135
5,8,45000,8,59,2014,2010,381000,1,4,5,1,1,135
5,8,29000,8,59,2018,1716,749000,4,4,5,1,0,14
5,4,19675,20,155,2012,1952,426000,4,4,7,3,1,113
5,2,20378,9,85,2021,841,877000,1,4,5,1,0,9
5,7,10000,28,232,2022,35,1400000,4,4,5,1,0,54
5,2,33683,9,84,2015,1067,335000,1,4,5,1,1,107
5,2,18518,20,165,2021,1733,413999,1,4,5,1,1,56
5,2,36000,20,173,2016,1728,321000,1,4,5,1,1,113
5,2,30791,20,147,2019,1761,323000,1,4,5,3,1,56
5,4,18000,20,155,2021,1728,925000,1,4,7,1,1,49
5,2,14447,20,146,2020,1749,345000,1,4,5,1,1,107
5,2,19991,9,73,2019,104,454000,1,4,5,3,1,107
5,2,24000,9,70,2016,1308,259000,1,4,5,1,1,9
5,7,41000,17,119,2019,1473,675000,1,1,7,1,1,135
5,7,45000,0,7,2015,643,1095000,1,1,5,1,1,8
5,7,10177,9,67,2021,1548,1875000,1,4,7,1,0,8
5,2,35444,9,73,2013,842,325000,4,4,5,1,1,135
5,2,35000,9,73,2017,842,415000,4,4,5,1,1,56
5,4,40000,30,272,2019,549,1695000,1,1,7,1,1,107
5,2,49040,9,73,2016,911,365000,1,1,5,1,1,107
5,2,40000,20,145,2007,1207,98000,4,4,5,3,1,85
5,2,49546,20,147,2019,1728,333000,1,4,5,1,1,56
5,8,32814,8,59,2018,1677,675000,1,4,5,1,1,14
5,8,14642,9,82,2015,97,329000,4,4,5,1,1,9
5,2,33429,20,146,2017,1224,279000,1,4,5,1,1,107
5,8,36448,9,78,2012,537,299000,1,4,5,3,1,135
5,2,30739,9,74,2022,1566,622000,1,4,5,1,1,9
5,2,21300,9,85,2021,837,798000,1,4,5,1,1,56
5,2,13463,9,74,2020,1579,618000,1,4,5,1,1,9
5,2,15477,20,165,2019,1766,430999,4,4,5,1,0,56
5,2,33000,20,173,2018,776,415000,4,4,5,1,0,9
5,2,50000,9,84,2010,1569,180000,4,4,5,3,1,85
5,7,15766,0,6,2021,1364,3700000,1,4,5,1,0,8
5,7,28895,9,67,2021,1358,1675000,1,1,6,1,0,135
5,2,10000,20,148,2019,85,620000,4,4,5,1,1,85
5,8,50000,31,286,2015,323,380000,4,1,5,1,1,85
5,7,70000,17,139,2016,793,840000,4,1,7,3,0,113
5,8,24600,21,186,2020,1380,3500000,4,1,5,1,0,113
5,7,10711,17,136,2023,1217,1550000,1,1,4,1,1,8
5,4,90000,20,155,2018,1755,600000,4,4,7,1,1,85
5,7,19712,9,80,2020,1517,868000,1,4,5,1,1,135
5,8,31772,8,59,2019,2024,917000,1,4,5,1,0,56
5,8,150000,7,0,2013,1136,100000,4,1,5,1,1,137
5,8,31055,9,81,2019,1707,867000,4,4,5,1,1,8
5,7,25695,27,222,2021,1402,827000,1,4,5,1,1,9
5,2,20000,20,165,2021,1765,420000,4,4,5,1,1,135
5,7,24181,17,138,2019,1815,942000,1,1,5,1,1,107
5,7,70000,13,102,2020,1128,1300000,4,1,5,1,0,85
5,7,42970,27,222,2020,1412,803999,1,4,5,1,1,113
5,2,12541,20,145,2012,1246,179000,1,4,5,3,1,107
5,2,10000,9,85,2019,1351,550000,4,4,5,1,1,85
5,2,10000,9,74,2021,1566,650000,4,4,5,3,1,85
5,8,49817,8,59,2015,1677,449000,1,4,5,1,1,50
5,2,30000,27,224,2016,20,250000,4,4,5,3,1,85
5,7,10000,29,251,2022,1885,821000,4,4,5,3,1,85
5,2,20000,9,73,2013,911,300000,4,1,5,1,1,85
5,7,80000,17,139,2015,1784,700000,4,1,7,3,1,85
5,8,70000,9,82,2014,59,280000,4,1,5,3,1,85
5,2,6347,20,168,2020,1972,663000,1,4,5,1,1,9
5,2,19437,20,161,2019,66,559000,1,4,5,3,0,135
5,2,61262,20,168,2019,1687,500000,4,1,5,1,1,135
5,7,6059,29,251,2021,1899,934000,1,4,5,1,1,9
5,2,9134,29,239,2022,1888,914000,1,1,5,1,1,8
5,2,23092,20,148,2022,69,840000,1,4,5,1,1,56
5,2,33937,29,239,2020,1879,684000,1,1,5,1,1,107
5,8,20000,20,153,2015,1769,524000,4,4,5,1,1,135
5,2,49134,30,266,2017,159,442000,1,4,5,1,1,56
5,2,71900,20,164,2010,1728,192000,1,4,5,3,1,9
5,2,20000,20,173,2020,1757,580000,4,4,5,1,1,85
5,8,20000,1,15,2019,733,3800000,4,1,5,1,0,8
5,8,10000,8,55,2021,1718,828999,4,4,5,1,0,85
5,7,22336,6,49,2017,640,2649000,1,1,7,1,0,65
5,7,30000,1,18,2016,2054,1950000,4,1,5,1,0,85
5,2,10000,9,85,2019,1351,600000,4,4,5,3,1,9
5,8,48384,8,59,2019,2027,775000,1,4,5,1,1,135
5,8,20000,28,235,2020,1315,850000,4,4,5,1,1,85
5,8,56023,30,264,2015,275,434999,1,4,5,1,1,135
5,8,60840,9,71,2019,396,956000,1,1,5,3,1,8
5,2,18984,24,213,2017,1836,430999,1,4,5,1,0,9
5,4,50000,20,155,2014,1734,575000,4,4,7,1,1,85
5,8,115173,29,260,2017,1386,432000,1,1,5,1,1,113
5,2,26251,20,147,2014,613,254999,4,4,5,1,1,107
5,7,35700,21,193,2015,605,1675000,4,1,5,3,0,113
5,2,6230,20,165,2021,1741,479000,1,4,5,3,0,113
5,7,30000,29,251,2020,1848,763000,4,4,5,1,1,85
5,8,25228,8,55,2022,1717,846000,4,4,5,1,0,56
5,7,46717,9,69,2019,396,999000,1,4,5,1,1,8
5,2,20000,9,84,2013,1566,280000,4,4,5,1,1,85
